Time,Block #,Address,Balance,Identity A,Logo A,Identity B,Logo B
2021-10-27 20:44:53,7444915,5EpuuKDUshcayPXCsFGH5MyvaEQHQVLiFUajXDzAuQr1P6uz,4579108583373,25,100,75,0
2021-10-27 20:45:19,7444921,5EA4w4ZW9WmbY32EPXY8SMfCJz18KTVAjgtMrdTq9EZnthAe,29549000000,100,0,0,100
2021-10-27 20:45:32,7444923,5ChWkSBdNh47JH6Lw3CeFdmtZk16DWEe3XWRU4wDyooqqUmU,20284400028,0,100,100,0
2021-10-27 20:45:55,7444927,5EhXPqbrksHnhM72ECyMA8E6deyq6pRiMLHE1DpS927mw8Kb,13682999769,0,100,100,0
2021-10-27 20:46:19,7444931,5EpuuKDUshcayPXCsFGH5MyvaEQHQVLiFUajXDzAuQr1P6uz,4579108583373,25,100,75,0
2021-10-27 20:46:26,7444932,5HGUByxcNd7ogYbMb5QmVhHm81vjt1VxCPoNjDXdcBrMVFQw,46001037800,75,75,25,25
2021-10-27 20:46:31,7444933,5ERoHbtCoftRDJoZfZkDz9Lj986mUZkmhuwvoPuNKEoQZ6dC,99500000000,0,75,100,25
2021-10-27 20:46:43,7444935,5D7JfYcM6vcqAeWa1Y8jjzhSYgepotfMZro4RycWfTtgn9kM,14206379886,0,100,100,0
2021-10-27 20:46:57,7444937,5CSdn7AqzF38hdFkqeiw29pjXhg3EYtTynwadK6DLw2bYPRu,10120999958,100,100,0,0
2021-10-27 20:46:57,7444937,5CSdn7AqzF38hdFkqeiw29pjXhg3EYtTynwadK6DLw2bYPRu,10120999958,100,100,0,0
2021-10-27 20:47:20,7444941,5ExmrskseFs2CCMEesYQXZjrPQpHkbNQNY5Hn8o9xtcmrZMv,1511389000000,0,100,100,0
2021-10-27 20:47:27,7444942,5G3ni94oTsycqUzPUqV8hS94Y695tbjq2fiyBCPnuoSgLTAe,13589000000,100,100,0,0
2021-10-27 20:47:27,7444942,5G3ni94oTsycqUzPUqV8hS94Y695tbjq2fiyBCPnuoSgLTAe,13589000000,100,100,0,0
