Address,Balance,Identity A,Logo A,Identity B,Logo B
5CwMeoZZ26CURzU4UcMwZmspxXX4spUgzjGb6sjGU9rhfMUs,751883189171,0,100,100,0
5CSU6bEeLgibB1tNDLB9qzsLZjqncHF9yNWKSMTQpA7VBH5M,2453359000000,0,100,100,0
5G23wrj7USuEvcUvweULDGMkMDMDvhgrAiUwkYXCZmcVNeYS,19089000000,0,0,100,100
5Dff8XXfYfZaSVmzBQzWUuK2Gs759QAUTcSbVNbjkv7PRxbG,14089000000,100,100,0,0
5EPU2Pg4fxsVdqJoeqo2HgDvV5qoifcbEmW2Gg8R8yYyCz7c,19434999986,100,100,0,0
5GHkYUgXkfYPvfgVUwbtZ8xpf91rzgBXucfWDXeCL4cv3XMw,54401860500,0,0,100,100
5DZaQ9DyWGeqBaaYGRWCxWsdRSKhkhkdpZTzHya3dwvhetbw,817491435167,100,100,0,0
5DvqcEPcDi9jpAy3DDu8PFXhm6evBUGhMjUxd49o57hz49Uu,12639111374,25,100,75,0
5HgbYY4xQj4jZ7syRrTmrsZWfewezcVP3JzGoTGZ4i5RbvtG,2507440032907,0,100,100,0
5GWF5JddjoyXQv5T2CNiswajU38Z7cKnggFKTAEGMFaaKrz8,1999616445486,0,50,100,50
5EhA8vvoFHYeZT5Hws9nDcdXhykbH3ppc5fcNzarnG3YWhNG,16155766613,75,75,25,25
5EXRQYMHY72fgueDvZaqtFr7n35rXddAyYzqNfBxfTWCN3TU,10438873387,25,25,75,75
5H4LAsVmgzM11hQvvFbLeQNpiztrmEo32cWmhgnHwRP8KPko,45776918231,0,100,100,0
5FJC38Tu7CkuGSwAL5kDiC4CNP11jmB4DDsbG2zVpuGXkkNU,58539000000,100,100,0,0
5F41A5JCU2yZ9B3pLAh99R1TqbQERuXfcqPdj8nD6uEv3ydm,29585459360205,25,75,75,25
5DJEJY4KFfDoE879cJXorkvkASoUFDpcmuqAbNkNqPgmhWP3,37601775386,25,75,75,25
5CojjHLpquYRZt2tgpuLodtQN38zEunkbj3XTb3MCd9JZ3xH,15630000000,75,75,25,25
5HmHriMzhFre7Yx4iRijyFk1gZquaEKYGdgMEBMiyAjYfSr1,6804705745569,50,0,50,100
5HQHGZ4DMJDyQhHQ7BsXUvD6M9cZiE7Kz2p87WJvFBQ2C4Sj,18508299867,0,100,100,0
5HjgnJux74JY9zagC7cva6HcGhWK1kKNHET7CZkDKE4PResr,33925999831,100,100,0,0
5E6pjCAGAtpV4nDoTWfMyQ474ku9DNScYeU3PK3e8Jd94Z1n,10300000000,0,75,100,25
5CqicrVEBYFr15MskeP1CuiiRMhK241R7qugRSkKoWkcKGVf,2351840200000,75,100,25,0
5CCoU2AhGrqJj4ky6e7yCbureaZpdr1C3MWkgwENgdJkBfFS,151650471771,0,100,100,0
5G4i5FDZU6FeRnsSXhG7AyK5GjB5NkGbCSCxy9fRFTweSzsi,19089000000,0,100,100,0
5GueEKretTUx3UobqeJdMiBVQ3pHySDzaBSBu3WTNYR2qUf6,159596999807,0,100,100,0
5EHeXnbScyzEtqQJvb2QzpcVT77ZmVd1QbXA4bfr75TPY3bm,229000000000,0,100,100,0
5GBuVJhjcn1NVhAKbXmCEaDnLoEUHRjVZ2nfo7A7ytJvCZBY,36134000000,0,100,100,0
5HTrBZyBYYMLFRdrzCZ9CianzKTTCEg4Hxr2LC6xv1E1Yr1N,1354305981925,0,100,100,0
5C5hYW1BK8gRcy2Gb4uPyztemWwRvwRKiJpEjrBkHnuEm7yH,35511654441,25,75,75,25
5Dbt73oW1qL1kZwwJFcron4LSKGrYnTCouorFNSwutAykMFP,1008609878200,0,100,100,0
5GHoeWhzif2Sx1fhDVtSq5DUBSytwYG2bZzGEyPwJ2eYBxun,10830374778,0,0,100,100
5D5FAWVYyCmRDe8pyYR5U4RgA23LN1U2TYA2bTZpp97sULCy,49089000000,100,50,0,50
5EyAF3bHcojgatXENSBwqiszRJEW3UKTQ5CJuYVLFyh41Z5E,21165887848200,25,75,75,25
5Fgjcao16stJpFY7pDz2VPZAZFrRVrMiWjFyppjav3gmQbm2,59380665735323,0,100,100,0
5GbFiGkXSwtWjmVLDtAnbU4dyUGL3ocw6CHdfas2SzaFYf1p,19589000000,0,100,100,0
5DvYNn3tp8C1TRAPd6C3EDjmZN7eYQQzfDoxNSudpsQDBFTe,50000000000,50,50,50,50
5FWAWN8UrdvCWqwbi4g8Z4RDpXsnHSk8nq7QpsoCuUvwN5MK,834368222800,0,100,100,0
5EeDJeh4HkX3ZVQdJwapsa7Daz5qwmyyYZuNBu6DWgUPQ487,51474999944,0,0,100,100
5D4wabGgvAZJUJymxwNrzon4W7h5Z2mHqHhKh3Ukv6ykzWTT,32736028975,0,100,100,0
5CMgHC444Q8FppZNbRYyX3W9YNPXVieu2CXzYRz7BnyHJkAr,9247943653919,0,100,100,0
5DV5fSHe1ucMqZY69sSBkGxkidxojiJreZv4bZS4xY1cbbDM,19843999986,0,100,100,0
5ChWXaQfLdsdqtH7L1bLBjCvy5Jdv64SZNqAdjhvS9zy1TNg,10600000000,25,100,75,0
5G94C61gT9N8rJ7dqcTn4nSjkc9pJ3R9Hde3axZkH7rziwXG,616846379896,0,100,100,0
5HbTj1HR6cs8SsDGUxvvxzNM3RcFodYw2MTo6txreUtFu3fk,19589000000,0,100,100,0
5DUB3ruDWWFhs3g2DaM5TpynmVcaAwCus8smWQ3Hu4L2FeTE,254155978400,50,50,50,50
5Df8SaFiZcssShtu24NzbQFLvWEGvpnX3qmt4u61Xke48tTy,1022915099984,0,100,100,0
5EJSUsfTeFcRJiuWVDBZL1RMa8wgd6TQDik9WNv8trdRDBDt,12175395461518,75,0,25,100
5CkjTj92zW9e4LxkevTmnk2xRdpDaq7wYwUxzwCFwkyN3jU1,2759106406081,75,75,25,25
5C5FaWungBgGCGLdE5mHEJJfexuw4BPYbL2n32Psm9PSmzHq,99589000000,100,100,0,0
5Gx4iHqKkKWGzLWqVPjPsj2xynsCmQTj6dvD4Q2py7aS8Uh3,4971658509186,25,75,75,25
5Dr4nyVGRhE5eodB5YhMLHcZZNTfDC9vULw2aS3ap89Tc7nN,5051174014018,100,100,0,0
5EvWkxTPHxoWUbFtcDyeXTRUWwPBJjZZm4r3cvV6b2M6T2oP,277854299046,0,0,100,100
5E4BHWiL9MEdBaXv9oSgdcJVq1fUK6UUwDejMsNqJ8hqEA5p,765043785975,100,100,0,0
5HGguUcPN8TUsm81M2h1ewU2eytp6cyzzsGpwgXKqm97hiTn,18589000000,0,100,100,0
5ECYPMVcdvBBHGHpkfsasg8arhxHXNEKNr6yxRx1vUSY8YAK,906241966781,0,100,100,0
5DCUVYjZdofNSkKVUYYwMepJBLbyNQ6F6Pb5nEmVDmwpnH1i,9277686762300,100,0,0,100
5CJPEDH99tmA11aR1pPzunvChWd9L4S6GPnRGHcNsYPHn2oy,60301929605,100,100,0,0
5CdJtzHtSfsPiDrGkv8DdmknG2FfNjUJop5doGpW8UoxvSax,1.30345E+15,75,100,25,0
5HWPVcvJthgsMZtobAaF5tzZPAfj2Tjun4tmrkcrB7PYDSBR,13589000000,25,100,75,0
